w_val,q2_val,gen_events,weight,rec_events,weight_rec,flux,cross_section,formfactor,cs_scaled
1.975,3.25,185544,52.57576,20580,6.14593,0.00012,2.27368,1.25573,2.85512
1.975,3.85,260369,38.2609,32528,4.98739,9e-05,1.71552,1.20075,2.05991
1.975,4.6,297374,21.06018,40643,3.00349,6e-05,1.24592,1.14412,1.42548
1.975,5.5,371279,12.36605,53549,1.84102,4e-05,0.89948,1.0887,0.97926
1.975,6.5,370104,5.88091,53550,0.8671,2e-05,0.65036,1.03836,0.6753
1.975,7.5,367974,3.08628,50515,0.42201,2e-05,0.49562,0.99647,0.49387
1.975,8.5,358074,1.72252,44090,0.20833,1e-05,0.39494,0.96082,0.37947
1.975,10.0,641482,1.6474,59139,0.14676,1e-05,0.32596,0.91596,0.29856
2.025,2.2,150347,171.75111,11004,12.94809,0.00029,4.00125,1.38479,5.54089
2.025,2.7,224447,125.86308,21620,12.55233,0.00019,2.9578,1.31678,3.89477
2.025,3.25,187313,51.51899,21758,6.26752,0.00013,2.13985,1.25573,2.68708
2.025,3.85,264212,37.64321,34424,5.12666,9e-05,1.60581,1.20075,1.92817
2.025,4.6,300192,20.65717,42000,3.05118,6e-05,1.16366,1.14412,1.33138
2.025,5.5,375485,12.25366,55509,1.87745,4e-05,0.84353,1.0887,0.91835
2.025,6.5,372806,5.80362,55053,0.87755,3e-05,0.60745,1.03836,0.63075
2.025,7.5,368960,3.02974,51182,0.42379,2e-05,0.46107,0.99647,0.45944
2.025,8.5,358642,1.70333,44618,0.20985,1e-05,0.36942,0.96082,0.35495
2.025,10.0,641008,1.63186,59580,0.14837,1e-05,0.30494,0.91596,0.27931
2.075,2.2,150042,168.31575,11631,13.03144,0.00029,3.86231,1.38479,5.34849
2.075,2.7,225055,123.85336,22506,12.43427,0.00019,2.83796,1.31678,3.73696
2.075,3.25,188117,51.28378,22945,6.38574,0.00013,2.06377,1.25573,2.59154
2.075,3.85,263113,37.30404,35390,5.14701,9e-05,1.54827,1.20075,1.85908
2.075,4.6,300226,20.6724,43501,3.05906,6e-05,1.12323,1.14412,1.28512
2.075,5.5,373847,12.18549,56112,1.8659,4e-05,0.80924,1.0887,0.88102
2.075,6.5,373709,5.86176,55040,0.87068,3e-05,0.58556,1.03836,0.60802
2.075,7.5,367471,3.04881,51503,0.42141,2e-05,0.44419,0.99647,0.44262
2.075,8.5,355866,1.71251,44268,0.20421,1e-05,0.35585,0.96082,0.34191
2.075,10.0,624918,1.63431,59165,0.14634,1e-05,0.29664,0.91596,0.27171
2.125,2.2,149967,166.06701,12066,12.42722,0.00029,3.7593,1.38479,5.20583
2.125,2.7,226064,123.36375,23893,12.22194,0.0002,2.76012,1.31678,3.63447
2.125,3.25,188318,51.12869,23573,6.17393,0.00014,2.0064,1.25573,2.5195
2.125,3.85,263164,37.40288,36239,4.90031,9e-05,1.50871,1.20075,1.81158
2.125,4.6,299944,20.80745,44048,2.93495,6e-05,1.09523,1.14412,1.25308
2.125,5.5,375307,12.37238,57564,1.83415,4e-05,0.78873,1.0887,0.85869
2.125,6.5,372232,5.91979,55874,0.85718,3e-05,0.56987,1.03836,0.59173
2.125,7.5,369026,3.11713,51897,0.41273,2e-05,0.4326,0.99647,0.43107
2.125,8.5,356825,1.74836,44358,0.2016,1e-05,0.34555,0.96082,0.33201
2.125,10.0,615551,1.66986,56727,0.14177,1e-05,0.2923,0.91596,0.26773
2.175,2.2,150338,161.51305,12689,12.83491,0.0003,3.60633,1.38479,4.994
2.175,2.7,225177,120.63044,24803,12.69376,0.0002,2.66539,1.31678,3.50972
2.175,3.25,187991,50.38433,24066,6.15015,0.00014,1.93927,1.25573,2.4352
2.175,3.85,262868,36.98043,37160,4.98954,0.0001,1.45604,1.20075,1.74834
