w_val,q2_val,exp_events,flux,weight,cross_section,formfactor,cs_scaled
1.9249999999999998,3.25,22900,0.00012,22900.00000,8307.33864,1.25573,10431.76809
1.9249999999999998,3.85,19033,0.00008,19033.00000,12138.75206,1.20075,14575.59466
1.9249999999999998,4.6,10800,0.00005,10800.00000,18372.87086,1.14412,21020.83346
1.9249999999999998,5.5,6184,0.00004,6184.00000,28324.37764,1.08870,30836.69438
1.9249999999999998,6.5,2601,0.00002,2601.00000,43094.75865,1.03836,44747.79439
1.9249999999999998,7.5,1264,0.00002,1264.00000,62424.58088,0.99647,62204.35897
1.9249999999999998,8.5,540,0.00001,540.00000,86981.41961,0.96082,83573.75484
1.9249999999999998,9.5,205,0.00001,205.00000,117397.97322,0.92994,109173.29907
1.9249999999999998,10.5,78,0.00001,78.00000,154238.12715,0.90281,139247.67951
1.975,2.2,35097,0.00028,35097.00000,3575.32376,1.38479,4951.06717
1.975,2.7,45050,0.00018,45050.00000,5413.65894,1.31678,7128.58473
1.975,3.25,25205,0.00012,25205.00000,8023.97956,1.25573,10075.94580
1.975,3.85,20899,0.00009,20899.00000,11674.27561,1.20075,14017.87501
1.975,4.6,11943,0.00006,11943.00000,17592.58456,1.14412,20128.08957
1.975,5.5,6849,0.00004,6849.00000,27005.98517,1.08870,29401.36309
1.975,6.5,2976,0.00002,2976.00000,40929.03759,1.03836,42499.00025
1.975,7.5,1383,0.00002,1383.00000,59092.06153,0.99647,58883.59611
1.975,8.5,571,0.00001,571.00000,82100.35179,0.96082,78883.91225
1.975,9.5,232,0.00001,232.00000,110522.63348,0.92994,102779.63229
1.975,10.5,98,0.00001,98.00000,144859.60560,0.90281,130780.65915
2.025,2.2,36943,0.00029,36943.00000,3502.60559,1.38479,4850.36789
2.025,2.7,47588,0.00019,47588.00000,5274.53967,1.31678,6945.39559
2.025,3.25,26409,0.00013,26409.00000,7780.08636,1.25573,9769.68197
2.025,3.85,21963,0.00009,21963.00000,11270.93783,1.20075,13533.56757
2.025,4.6,13090,0.00006,13090.00000,16910.48499,1.14412,19347.68341
2.025,5.5,7506,0.00004,7506.00000,25847.92011,1.08870,28140.57993
2.025,6.5,3302,0.00003,3302.00000,39020.34103,1.03836,40517.08960
2.025,7.5,1552,0.00002,1552.00000,56148.60847,0.99647,55950.52698
2.025,8.5,670,0.00001,670.00000,77782.57932,0.96082,74735.29684
2.025,9.5,278,0.00001,278.00000,104434.08577,0.92994,97117.63641
2.025,10.5,96,0.00001,96.00000,136547.73343,0.90281,123276.62021
2.075,2.2,38380,0.00029,38380.00000,3442.98807,1.38479,4767.81024
2.075,2.7,50115,0.00019,50115.00000,5156.87604,1.31678,6790.45876
2.075,3.25,28094,0.00013,28094.00000,7570.24889,1.25573,9506.18293
2.075,3.85,23486,0.00009,23486.00000,10920.24085,1.20075,13112.46851
2.075,4.6,14060,0.00006,14060.00000,16312.75167,1.14412,18663.80267
2.075,5.5,7989,0.00004,7989.00000,24827.36615,1.08870,27029.50483
2.075,6.5,3636,0.00003,3636.00000,37331.76280,1.03836,38763.74061
2.075,7.5,1725,0.00002,1725.00000,53537.97657,0.99647,53349.10489
2.075,8.5,687,0.00001,687.00000,73946.24039,0.96082,71049.25388
2.075,9.5,276,0.00001,276.00000,99017.51249,0.92994,92080.53775
2.075,10.5,109,0.00001,109.00000,129146.33967,0.90281,116594.57002
2.125,2.2,41032,0.00029,41032.00000,3394.83874,1.38479,4701.13359
2.125,2.7,51976,0.00020,51976.00000,5057.92025,1.31678,6660.15600
2.125,3.25,29495,0.00014,29495.00000,7390.01383,1.25573,9279.85649
2.125,3.85,24721,0.00009,24721.00000,10615.18772,1.20075,12746.17626
2.125,4.6,14598,0.00006,14598.00000,15788.00361,1.14412,18063.42608
2.125,5.5,8560,0.00004,8560.00000,23925.53416,1.08870,26047.68211
2.125,6.5,3859,0.00003,3859.00000,35832.91352,1.03836,37207.39823
2.125,7.5,1769,0.00002,1769.00000,51213.85939,0.99647,51033.18675
2.125,8.5,731,0.00001,731.00000,70523.95117,0.96082,67761.03944
2.125,9.5,288,0.00001,288.00000,94178.42312,0.92994,87580.46558
2.125,10.5,112,0.00001,112.00000,122526.93214,0.90281,110618.50460
2.175,2.2,43229,0.00030,43229.00000,3356.80498,1.38479,4648.46488
2.175,2.7,55086,0.00020,55086.00000,4975.39335,1.31678,6551.48643
2.175,3.25,31093,0.00014,31093.00000,7235.68547,1.25573,9086.06186
2.175,3.85,26350,0.00010,26350.00000,10349.96995,1.20075,12427.71628
2.175,4.6,15611,0.00007,15611.00000,15326.79121,1.14412,17535.74213
2.175,5.5,9105,0.00004,9105.00000,23126.82308,1.08870,25178.12693
2.175,6.5,4128,0.00003,4128.00000,34498.56244,1.03836,35821.86390
