w_val,q2_val,gen_events,flux,weight,cross_section,formfactor,cs_scaled
2.175,3.85,26115,0.00010,3.64971,1.44646,1.20075,1.73684
2.175,4.6,30210,0.00007,2.07774,1.05413,1.14412,1.20605
2.175,5.5,38066,0.00004,1.25285,0.76116,1.08870,0.82868
2.175,6.5,37921,0.00003,0.60299,0.54857,1.03836,0.56961
2.175,7.5,37825,0.00002,0.31186,0.40514,0.99647,0.40371
2.175,8.5,37879,0.00001,0.17579,0.31307,0.96082,0.30081
2.175,9.5,37644,0.00001,0.10398,0.24816,0.92994,0.23078
2.175,10.5,37569,0.00001,0.06487,0.20131,0.90281,0.18174
2.225,2.2,15263,0.00030,15.99421,3.48718,1.38479,4.82901
2.225,2.7,22748,0.00020,11.92319,2.57217,1.31678,3.38698
2.225,3.25,18706,0.00014,5.00159,1.89951,1.25573,2.38527
2.225,3.85,26460,0.00010,3.70418,1.41668,1.20075,1.70108
2.225,4.6,30332,0.00007,2.08598,1.02615,1.14412,1.17405
2.225,5.5,38159,0.00004,1.25671,0.73831,1.08870,0.80380
2.225,6.5,38233,0.00003,0.60589,0.52784,1.03836,0.54808
2.225,7.5,37400,0.00002,0.30961,0.39138,0.99647,0.39000
2.225,8.5,37656,0.00002,0.17699,0.30413,0.96082,0.29221
2.225,9.5,37836,0.00001,0.10463,0.23762,0.92994,0.22097
2.225,10.5,37867,0.00001,0.06576,0.19314,0.90281,0.17437
2.275,2.2,15080,0.00030,16.08567,3.52727,1.38479,4.88453
2.275,2.7,22736,0.00021,12.26982,2.61862,1.31678,3.44814
2.275,3.25,18932,0.00014,5.07303,1.87382,1.25573,2.35301
2.275,3.85,26659,0.00010,3.78301,1.40774,1.20075,1.69034
2.275,4.6,30338,0.00007,2.15917,1.03657,1.14412,1.18596
2.275,5.5,37884,0.00005,1.28124,0.73689,1.08870,0.80225
2.275,6.5,37686,0.00003,0.61472,0.52592,1.03836,0.54610
2.275,7.5,37622,0.00002,0.32339,0.39203,0.99647,0.39064
2.275,8.5,37744,0.00002,0.18107,0.29852,0.96082,0.28683
2.275,9.5,37468,0.00001,0.10892,0.23955,0.92994,0.22277
2.275,10.5,38033,0.00001,0.06778,0.18958,0.90281,0.17115
2.325,2.2,14992,0.00030,15.42327,3.38770,1.38479,4.69125
2.325,2.7,22649,0.00021,11.75000,2.49474,1.31678,3.28502
2.325,3.25,18819,0.00014,5.03136,1.84464,1.25573,2.31637
2.325,3.85,26408,0.00010,3.76936,1.39145,1.20075,1.67078
2.325,4.6,30141,0.00007,2.13974,1.01171,1.14412,1.15752
2.325,5.5,37703,0.00005,1.28285,0.72231,1.08870,0.78638
2.325,6.5,37680,0.00003,0.62636,0.52010,1.03836,0.54005
2.325,7.5,37897,0.00002,0.33040,0.38449,0.99647,0.38314
2.325,8.5,37713,0.00002,0.18434,0.29320,0.96082,0.28172
2.325,9.5,38120,0.00001,0.11110,0.23084,0.92994,0.21467
2.325,10.5,37804,0.00001,0.06886,0.18576,0.90281,0.16770
2.375,2.2,15304,0.00030,16.14381,3.46606,1.38479,4.79976
2.375,2.7,22841,0.00021,12.10525,2.53102,1.31678,3.33278
2.375,3.25,19002,0.00015,5.10581,1.83318,1.25573,2.30197
2.375,3.85,26426,0.00010,3.82486,1.38962,1.20075,1.66859
2.375,4.6,30224,0.00007,2.20001,1.01735,1.14412,1.16398
2.375,5.5,38092,0.00005,1.34380,0.73133,1.08870,0.79620
2.375,6.5,37802,0.00003,0.63409,0.51043,1.03836,0.53001
2.375,7.5,38166,0.00002,0.34139,0.38232,0.99647,0.38097
2.375,8.5,37654,0.00002,0.18983,0.29216,0.96082,0.28072
2.375,9.5,37848,0.00001,0.11352,0.22885,0.92994,0.21282
2.375,10.5,37686,0.00001,0.06955,0.18083,0.90281,0.16325
2.425,2.2,15028,0.00030,14.82114,3.23929,1.38479,4.48573
2.425,2.7,22673,0.00021,11.58796,2.42870,1.31678,3.19806
2.425,3.25,18863,0.00015,5.09918,1.82735,1.25573,2.29465
2.425,3.85,26472,0.00011,3.80934,1.36350,1.20075,1.63723
2.425,4.6,30093,0.00007,2.16842,0.98978,1.14412,1.13243
2.425,5.5,37500,0.00005,1.30741,0.70731,1.08870,0.77005
2.425,6.5,37976,0.00003,0.63589,0.49664,1.03836,0.51569
2.425,7.5,38094,0.00002,0.34368,0.37452,0.99647,0.37320
2.425,8.5,37546,0.00002,0.18832,0.28141,0.96082,0.27039
2.425,9.5,38122,0.00001,0.11523,0.22263,0.92994,0.20704
2.425,10.5,37697,0.00001,0.06983,0.17473,0.90281,0.15774
2.475,2.2,15280,0.00030,14.77855,3.18078,1.38479,4.40471
2.475,2.7,22659,0.00021,11.41534,2.38638,1.31678,3.14233
2.475,3.25,18878,0.00015,4.90127,1.74217,1.25573,2.18769
2.475,3.85,26579,0.00011,3.67872,1.29679,1.20075,1.55712
2.475,4.6,29963,0.00007,2.17468,0.98172,1.14412,1.12321
2.475,5.5,37771,0.00005,1.31002,0.68996,1.08870,0.75116
2.475,6.5,37784,0.00003,0.65214,0.49994,1.03836,0.51911
2.475,7.5,37607,0.00002,0.32967,0.35413,0.99647,0.35288
2.475,8.5,37900,0.00002,0.18919,0.27166,0.96082,0.26102
2.475,9.5,37888,0.00001,0.11415,0.21461,0.92994,0.19958
2.475,10.5,37734,0.00001,0.07037,0.16965,0.90281,0.15316
